"#This table contains the distance to pathways and flow value of 500 cohorts of random points and archaeological sites. This table is used in the ""evaluation"" R script ",,,,,,,
rdm_distance_mean,rdm_flow_mean,sites_flow_mean,sites_distance_mean,cropland_flow_mean,cropland_distance_mean,non_cropland_flow_mean,non_cropland_distance_mean
20.14419583,23726066.83,,,,,,
22.4490078,16512325.61,,,,,,
20.41983733,15875853.15,,,,,,
21.49411301,11850631.14,,,,,,
20.12026908,10659880.33,,,,,,
21.49487696,17664935.41,,,,,,
21.98337916,20398887.31,,,,,,
21.27035662,11580674.53,,,,,,
22.01263322,16306810.92,,,,,,
21.68185065,16239146.96,,,,,,
21.24574983,8264782.875,,,,,,
22.12465331,14108639.62,,,,,,
22.0548958,13592628.06,,,,,,
22.19066597,25865709.48,,,,,,
21.36108173,7537303.547,,,,,,
21.62177033,17762248.45,,,,,,
21.00693712,5445868.908,,,,,,
21.93065632,21090374.72,,,,,,
21.61177776,25050876.89,,,,,,
22.00949242,21921703,,,,,,
21.90089837,29172744.54,,,,,,
22.20778596,19577865.94,,,,,,
20.72373234,26134074.02,,,,,,
21.28493677,12556200.07,,,,,,
20.98957827,33567416.69,,,,,,
20.9682507,7617193.571,,,,,,
20.54282483,10724165.72,,,,,,
21.53855079,12976707.7,,,,,,
21.73542412,22982320.92,,,,,,
20.65534023,33202982.08,,,,,,
21.55074869,22424765.22,,,,,,
22.00261625,8206013.759,,,,,,
21.03529969,9876123.396,,,,,,
21.4574167,12877163.62,,,,,,
22.17725253,19336170.34,,,,,,
21.30067707,16025604.41,,,,,,
21.71263778,24490306.35,,,,,,
21.42162851,24703493.22,,,,,,
21.14568974,12763846.73,,,,,,
21.76564502,30928413.88,,,,,,
20.3217839,27186261.84,,,,,,
20.91467333,4861290.518,,,,,,
22.37211178,3432378.992,,,,,,
22.6361867,7472507.227,,,,,,
22.05925428,23502265.99,,,,,,
21.56916635,8636473.256,,,,,,
21.73144743,10386504.48,,,,,,
20.42202686,18596705.11,,,,,,
20.95085309,27310269.92,,,,,,
21.30613672,13417086.86,,,,,,
21.35811121,26145318.24,,,,,,
21.87167396,9408543.97,,,,,,
20.91338593,4155748.97,,,,,,
21.23827257,21704060.67,,,,,,
21.37686453,16434137.84,,,,,,
21.41113171,17416751.17,,,,,,
21.46499634,6728428.364,,,,,,
21.2781749,9479430.243,,,,,,
20.96296688,4680784.308,,,,,,
20.69527749,6038987.683,,,,,,
21.53174204,7510732.933,,,,,,
20.96643887,40972821.57,,,,,,
21.88407264,9794761.38,,,,,,
20.29074541,2906404.153,,,,,,
21.29670513,18750112.77,,,,,,
22.23573553,7406338.591,,,,,,
21.39597028,16363508.46,,,,,,
21.83388317,4361285.642,,,,,,
21.88882609,27214432.22,,,,,,
20.94550847,32794650.18,,,,,,
21.14571056,15791323.7,,,,,,
22.27543371,20317632.75,,,,,,
21.24077801,14710238.89,,,,,,
21.21532338,26424778.28,,,,,,
22.14419136,33334106.08,,,,,,
21.54061777,11558346.19,,,,,,
22.06233734,5576194.958,,,,,,
22.05911027,16595918.06,,,,,,
20.84539939,5760248.883,,,,,,
22.59362367,12699826.26,,,,,,
21.97208491,4809372.579,,,,,,
22.70506705,28874819.32,,,,,,
21.32787433,5154642.197,,,,,,
21.31057124,34280784.66,,,,,,
20.92602785,5957315.36,,,,,,
21.67602103,8040717.038,,,,,,
21.36631884,15991759.41,,,,,,
21.16845894,27099526.83,,,,,,
21.55290106,13563539.56,,,,,,
21.40800873,19359933.8,,,,,,
21.73975792,15568451.82,,,,,,
20.18144965,4503881.928,,,,,,
20.78693223,41140704.86,,,,,,
20.7147851,17007415.75,,,,,,
22.33047517,11513654.99,,,,,,
21.79010017,18911272.09,,,,,,
21.62145913,22140706.81,,,,,,
20.46092685,29847667.26,,,,,,
21.88740287,10697215.73,,,,,,
21.21614732,7620367.625,,,,,,
21.63873311,5283709.073,,,,,,
21.4966808,27718457.41,,,,,,
21.16104824,13187504.44,,,,,,
21.06896601,10121318.75,,,,,,
22.50117664,11638393.24,,,,,,
20.50637921,24228945.55,,,,,,
20.20510441,13638887.25,,,,,,
21.36902893,5208412.2,,,,,,
20.83745983,15339583.97,,,,,,
22.07429865,9298250.269,,,,,,
20.87906479,18374456.75,,,,,,
20.46471848,13810676.12,,,,,,
21.28741903,28970113.84,,,,,,
21.58424409,2554458.831,,,,,,
